edinet_code,sec_code,doc_id,filer_name,period_end,submit_date,doc_description
E34722,7058,S100W9QB,共栄セキュリティーサービス株式会社,2025-03-31,2025-06-30,有価証券報告書－第41期(2024/04/01－2025/03/31)
E05713,3856,S100W9LG,Ａｂａｌａｎｃｅ株式会社,2025-03-31,2025-06-30,有価証券報告書－第26期(2024/07/01－2025/03/31)
E05680,3843,S100WE4B,フリービット株式会社,2025-04-30,2025-07-23,有価証券報告書－第25期(2024/05/01－2025/04/30)
E01856,6905,S100WGO2,コーセル株式会社,2025-05-20,2025-08-07,有価証券報告書－第56期(2024/05/21－2025/05/20)
E32381,3544,S100WH8K,サツドラホールディングス株式会社,2025-05-15,2025-08-07,有価証券報告書－第9期(2024/05/16－2025/05/15)
E34102,9278,S100WJSD,ブックオフグループホールディングス株式会社,2025-05-31,2025-08-15,有価証券報告書－第7期(2024/06/01－2025/05/31)
E24129,3160,S100WJ4B,株式会社大光,2025-05-31,2025-08-19,有価証券報告書－第75期(2024/06/01－2025/05/31)
E10737,3549,S100WJXT,株式会社クスリのアオキホールディングス,2025-05-20,2025-08-19,有価証券報告書－第27期(2024/05/21－2025/05/20)
E03423,2791,S100WK2E,大黒天物産株式会社,2025-05-31,2025-08-19,有価証券報告書－第39期(2024/06/01－2025/05/31)
E00710,7921,S100WKEQ,株式会社ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ,2025-05-31,2025-08-20,有価証券報告書－第88期(2024/06/01－2025/05/31)
E05027,4716,S100WK81,日本オラクル株式会社,2025-05-31,2025-08-20,有価証券報告書－第40期(2024/06/01－2025/05/31)
E05729,2168,S100WJZQ,株式会社パソナグループ,2025-05-31,2025-08-20,有価証券報告書－第18期(2024/06/01－2025/05/31)
E02968,3321,S100WKFZ,ミタチ産業株式会社,2025-05-31,2025-08-21,有価証券報告書－第49期(2024/06/01－2025/05/31)
E21606,3148,S100WK8P,株式会社クリエイトＳＤホールディングス,2025-05-31,2025-08-21,有価証券報告書－第28期(2024/06/01－2025/05/31)
E00059,1887,S100WKKV,日本国土開発株式会社,2025-05-31,2025-08-22,有価証券報告書－第96期(2024/06/01－2025/05/31)
E38684,5885,S100WKSA,株式会社ジーデップ・アドバンス,2025-05-31,2025-08-22,有価証券報告書－第10期(2024/06/01－2025/05/31)
E05527,2459,S100WKVQ,アウンコンサルティング株式会社,2025-05-31,2025-08-25,有価証券報告書－第27期(2024/06/01－2025/05/31)
E05289,2303,S100WKOH,株式会社ドーン,2025-05-31,2025-08-25,有価証券報告書－第34期(2024/06/01－2025/05/31)
E00687,3892,S100WKVW,株式会社岡山製紙,2025-05-31,2025-08-25,有価証券報告書－第184期(2024/06/01－2025/05/31)
E03386,2722,S100WL0T,株式会社ＩＫホールディングス,2025-05-31,2025-08-25,有価証券報告書－第44期(2024/06/01－2025/05/31)
E02842,7487,S100WKUS,小津産業株式会社,2025-05-31,2025-08-25,有価証券報告書－第114期(2024/06/01－2025/05/31)
E03424,2792,S100WKJF,株式会社ハニーズホールディングス,2025-05-31,2025-08-25,有価証券報告書－第47期(2024/06/01－2025/05/31)
E05313,8908,S100WKTA,株式会社毎日コムネット,2025-05-31,2025-08-25,有価証券報告書－第47期(2024/06/01－2025/05/31)
E30598,3297,S100WKV4,株式会社東武住販,2025-05-31,2025-08-25,有価証券報告書－第42期(2024/06/01－2025/05/31)
E05379,2796,S100WL4W,ファーマライズホールディングス株式会社,2025-05-31,2025-08-25,有価証券報告書－第39期(2024/06/01－2025/05/31)
E00006,1377,S100WKSN,株式会社　サカタのタネ,2025-05-31,2025-08-25,有価証券報告書－第84期(2024/06/01－2025/05/31)
E34960,4443,S100WKZJ,Ｓａｎｓａｎ株式会社,2025-05-31,2025-08-25,有価証券報告書－第18期(2024/06/01－2025/05/31)
E02336,7725,S100WL5W,株式会社インターアクション,2025-05-31,2025-08-25,有価証券報告書－第33期(2024/06/01－2025/05/31)
E04764,9765,S100WKLV,株式会社オオバ,2025-05-31,2025-08-25,有価証券報告書－第91期(2024/06/01－2025/05/31)
E03169,9812,S100WL8B,株式会社テーオーホールディングス,2025-05-31,2025-08-26,有価証券報告書－第71期(2024/06/01－2025/05/31)
E00890,4465,S100WL0G,株式会社ニイタカ,2025-05-31,2025-08-26,有価証券報告書－第63期(2024/06/01－2025/05/31)
E36350,4885,S100WL9D,室町ケミカル株式会社,2025-05-31,2025-08-26,有価証券報告書－第79期(2024/06/01－2025/05/31)
E01742,6505,S100WL6X,東洋電機製造株式会社,2025-05-31,2025-08-26,有価証券報告書－第164期(2024/06/01－2025/05/31)
E05162,4825,S100WL79,株式会社ウェザーニューズ,2025-05-31,2025-08-26,有価証券報告書－第39期(2024/06/01－2025/05/31)
E26831,5932,S100WJUP,三協立山株式会社,2025-05-31,2025-08-26,有価証券報告書－第80期(2024/06/01－2025/05/31)
E33254,6552,S100WLAB,株式会社ＧａｍｅＷｉｔｈ,2025-05-31,2025-08-26,有価証券報告書－第12期(2024/06/01－2025/05/31)
E00004,1376,S100WL4U,カネコ種苗株式会社,2025-05-31,2025-08-26,有価証券報告書－第78期(2024/06/01－2025/05/31)
E31306,1430,S100WLC9,ファーストコーポレーション株式会社,2025-05-31,2025-08-27,有価証券報告書－第14期(2024/06/01－2025/05/31)
E33393,9265,S100WKIB,ヤマシタヘルスケアホールディングス株式会社,2025-05-31,2025-08-27,有価証券報告書－第8期(2024/06/01－2025/05/31)
E02480,3791,S100WL1X,株式会社ＩＧポート,2025-05-31,2025-08-27,有価証券報告書－第36期(2024/06/01－2025/05/31)
E05706,2153,S100WLJ8,Ｅ・Ｊホールディングス株式会社,2025-05-31,2025-08-27,有価証券報告書－第18期(2024/06/01－2025/05/31)
E03465,3021,S100WLI3,株式会社パシフィックネット,2025-05-31,2025-08-27,有価証券報告書－第37期(2024/06/01－2025/05/31)
E02323,7713,S100WKLO,シグマ光機株式会社,2025-05-31,2025-08-27,有価証券報告書－第50期(2024/06/01－2025/05/31)
E01649,6496,S100WLJD,株式会社中北製作所,2025-05-31,2025-08-27,有価証券報告書－第99期(2024/06/01－2025/05/31)
E00574,3501,S100WLEX,ＳＵＭＩＮＯＥ株式会社,2025-05-31,2025-08-27,有価証券報告書－第136期(2024/06/01－2025/05/31)
E31454,6047,S100WLMH,株式会社Ｇｕｎｏｓｙ,2025-05-31,2025-08-27,有価証券報告書－第13期(2024/06/01－2025/05/31)
E05169,4829,S100WLO4,日本エンタープライズ株式会社,2025-05-31,2025-08-27,有価証券報告書－第37期(2024/06/01－2025/05/31)
E04873,9651,S100WL4H,日本プロセス株式会社,2025-05-31,2025-08-27,有価証券報告書－第58期(2024/06/01－2025/05/31)
E24187,4577,S100WLMY,ダイト株式会社,2025-05-31,2025-08-27,有価証券報告書－第83期(2024/06/01－2025/05/31)
E36637,4198,S100WLGP,株式会社テンダ,2025-05-31,2025-08-27,有価証券報告書－第30期(2024/06/01－2025/05/31)
E27305,1419,S100WL4I,タマホーム株式会社,2025-05-31,2025-08-27,有価証券報告書－第27期(2024/06/01－2025/05/31)
E27855,6083,S100WLGA,ＥＲＩホールディングス株式会社,2025-05-31,2025-08-27,有価証券報告書－第12期(2024/06/01－2025/05/31)
E03446,3349,S100WLSP,株式会社コスモス薬品,2025-05-31,2025-08-28,有価証券報告書－第43期(2024/06/01－2025/05/31)
E05449,3760,S100WL3H,株式会社ケイブ,2025-05-31,2025-08-28,有価証券報告書－第31期(2024/06/01－2025/05/31)
E04064,3236,S100WLW2,株式会社プロパスト,2025-05-31,2025-08-28,有価証券報告書－第39期(2024/06/01－2025/05/31)
E03989,8887,S100WLYW,株式会社シーラホールディングス,2025-05-31,2025-08-28,有価証券報告書－第47期(2024/06/01－2025/05/31)
E34663,4430,S100WLXE,東海ソフト株式会社,2025-05-31,2025-08-28,有価証券報告書－第56期(2024/06/01－2025/05/31)
E40147,277A,S100WLJK,グロービング株式会社,2025-05-31,2025-08-28,有価証券報告書－第10期(2024/06/01－2025/05/31)
E01380,5967,S100WLV7,ＴＯＮＥ株式会社,2025-05-31,2025-08-28,有価証券報告書－第90期(2024/06/01－2025/05/31)
E05536,2462,S100WLRT,ライク株式会社,2025-05-31,2025-08-28,有価証券報告書－第32期(2024/06/01－2025/05/31)
E02803,7434,S100WLHT,株式会社オータケ,2025-05-31,2025-08-28,有価証券報告書－第73期(2024/06/01－2025/05/31)
E33497,7808,S100WLYT,株式会社シー・エス・ランバー,2025-05-31,2025-08-29,有価証券報告書－第43期(2024/06/01－2025/05/31)
E00866,7888,S100WLZJ,三光合成株式会社,2025-05-31,2025-08-29,有価証券報告書－第92期(2024/06/01－2025/05/31)
E01508,6150,S100WLR3,タケダ機械株式会社,2025-05-31,2025-08-29,有価証券報告書－第54期(2024/06/01－2025/05/31)
E34644,7673,S100WM3R,ダイコー通産株式会社,2025-05-31,2025-08-29,有価証券報告書－第50期(2024/06/01－2025/05/31)
E37399,9216,S100WLY3,ビーウィズ株式会社,2025-05-31,2025-08-29,有価証券報告書－第26期(2024/06/01－2025/05/31)
E05601,3810,S100WM70,サイバーステップ株式会社,2025-05-31,2025-08-29,有価証券報告書－第25期(2024/06/01－2025/05/31)
E05450,2437,S100WM4T,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ株式会社,2025-05-31,2025-08-29,有価証券報告書－第36期(2024/06/01－2025/05/31)
E31379,6044,S100WLAF,株式会社三機サービス,2025-05-31,2025-08-29,有価証券報告書－第48期(2024/06/01－2025/05/31)
E03409,2769,S100WLQL,株式会社ヴィレッジヴァンガードコーポレーション,2025-05-31,2025-08-29,有価証券報告書－第37期(2024/06/01－2025/05/31)
E40662,372A,S100WMBE,株式会社レント,2025-05-31,2025-09-01,有価証券報告書－第41期(2024/06/01－2025/05/31)
E39505,208A,S100WNI1,株式会社構造計画研究所ホールディングス,2025-06-30,2025-09-05,有価証券報告書－第1期(2024/07/01－2025/06/30)
E33416,9267,S100WNXO,Ｇｅｎｋｙ　ＤｒｕｇＳｔｏｒｅｓ株式会社,2025-06-20,2025-09-10,有価証券報告書－第8期(2024/06/21－2025/06/20)
E30501,3191,S100WO68,株式会社ジョイフル本田,2025-06-20,2025-09-16,有価証券報告書－第50期(2024/06/21－2025/06/20)
E05163,4826,S100WOO0,株式会社ＣＩＪ,2025-06-30,2025-09-17,有価証券報告書－第50期(2024/07/01－2025/06/30)
E33026,3984,S100WPIP,株式会社ユーザーローカル,2025-06-30,2025-09-17,有価証券報告書－第20期(2024/07/01－2025/06/30)
E05191,4847,S100WP1M,株式会社インテリジェント　ウェイブ,2025-06-30,2025-09-17,有価証券報告書－第42期(2024/07/01－2025/06/30)
E02398,7962,S100WOZY,株式会社キングジム,2025-06-20,2025-09-17,有価証券報告書－第77期(2024/06/21－2025/06/20)
E00009,1381,S100WPSG,株式会社アクシーズ,2025-06-30,2025-09-18,有価証券報告書－第63期(2024/07/01－2025/06/30)
E02448,5903,S100WP45,シンポ株式会社,2025-06-30,2025-09-18,有価証券報告書－第55期(2024/07/01－2025/06/30)
