announcement_date,code,name,fiscal_year_end,sector33,quarter_type,market
2026-07-03,2753,あみやき亭,2027-03-31,小売業,第１四半期,プライム
2026-07-07,2408,ＫＧ情報,2026-12-20,サービス業,第２四半期,スタンダード
2026-07-15,6866,日置電機,2026-12-31,電気機器,第２四半期,プライム
2026-07-16,5990,スーパーツール,2027-03-15,金属製品,第１四半期,スタンダード
2026-07-17,2411,ゲンダイエージェンシー,2027-03-31,情報・通信業,第１四半期,スタンダード
2026-07-17,4929,アジュバンホールディングス,2027-03-20,化学,第１四半期,スタンダード
2026-07-17,5423,東京製鐵,2027-03-31,鉄鋼,第１四半期,プライム
2026-07-17,5933,アルインコ,2027-03-20,金属製品,第１四半期,プライム
2026-07-21,296A,令和アカウンティング・ホールディングス,2027-03-31,サービス業,第１四半期,グロース
2026-07-21,6200,インソース,2026-09-30,サービス業,第３四半期,プライム
2026-07-21,9629,ピー・シー・エー,2027-03-31,情報・通信業,第１四半期,プライム
2026-07-22,3091,ブロンコビリー,2026-12-31,小売業,第２四半期,プライム
2026-07-22,4684,オービック,2027-03-31,情報・通信業,第１四半期,プライム
2026-07-22,4733,オービックビジネスコンサルタント,2027-03-31,情報・通信業,第１四半期,プライム
2026-07-22,5576,オービーシステム,2027-03-31,情報・通信業,第１四半期,スタンダード
2026-07-23,2268,Ｂ－Ｒ　サーティワン　アイスクリーム,2026-12-31,食料品,第２四半期,スタンダード
2026-07-23,6146,ディスコ,2027-03-31,機械,第１四半期,プライム
2026-07-23,6999,ＫＯＡ,2027-03-31,電気機器,第１四半期,プライム
2026-07-23,7931,未来工業,2027-03-20,化学,第１四半期,プライム
2026-07-23,7970,信越ポリマー,2027-03-31,化学,第１四半期,プライム
2026-07-23,9478,ＳＥホールディングス・アンド・インキュベーションズ,2027-03-31,情報・通信業,第１四半期,スタンダード
2026-07-23,9733,ナガセ,2027-03-31,サービス業,第１四半期,スタンダード
2026-07-24,1723,日本電技,2027-03-31,建設業,第１四半期,スタンダード
2026-07-24,1964,中外炉工業,2027-03-31,建設業,第１四半期,プライム
2026-07-24,2804,ブルドックソース,2027-03-31,食料品,第１四半期,プライム
2026-07-24,3912,モバイルファクトリー,2026-12-31,情報・通信業,第２四半期,スタンダード
2026-07-24,4063,信越化学工業,2027-03-31,化学,第１四半期,プライム
2026-07-24,4519,中外製薬,2026-12-31,医薬品,第２四半期,プライム
2026-07-24,4973,日本高純度化学,2027-03-31,化学,第１四半期,プライム
2026-07-24,5659,日本精線,2027-03-31,鉄鋼,第１四半期,プライム
2026-07-24,6629,テクノホライゾン,2027-03-31,電気機器,第１四半期,スタンダード
2026-07-24,6653,正興電機製作所,2026-12-31,電気機器,第２四半期,プライム
2026-07-24,6858,小野測器,2026-12-31,電気機器,第２四半期,スタンダード
2026-07-24,7175,今村証券,2027-03-31,証券、商品先物取引業,第１四半期,スタンダード
2026-07-24,7422,東邦レマック,2026-12-20,卸売業,第２四半期,スタンダード
2026-07-24,8060,キヤノンマーケティングジャパン,2026-12-31,卸売業,第２四半期,プライム
2026-07-24,8595,ジャフコ　グループ,2027-03-31,証券、商品先物取引業,第１四半期,プライム
2026-07-24,9029,ヒガシホールディングス,2027-03-31,陸運業,第１四半期,スタンダード
2026-07-24,9353,櫻島埠頭,2027-03-31,倉庫・運輸関連業,第１四半期,スタンダード
2026-07-24,9701,東京會舘,2027-03-31,サービス業,第１四半期,スタンダード
2026-07-27,1718,美樹工業,2026-12-31,建設業,第２四半期,スタンダード
2026-07-27,2767,円谷フィールズホールディングス,2027-03-31,卸売業,第１四半期,プライム
2026-07-27,3132,マクニカホールディングス,2027-03-31,卸売業,第１四半期,プライム
2026-07-27,3635,コーエーテクモホールディングス,2027-03-31,情報・通信業,第１四半期,プライム
2026-07-27,4366,ダイトーケミックス,2027-03-31,化学,第１四半期,スタンダード
