code,name,market,sector33,sector17,size,edinet_code,edinet_name,fiscal_end,has_consolidated
1301,極洋,プライム（内国株式）,水産・農林業,食品,TOPIX Small 1,E00012,株式会社　極洋,3月31日,有
1332,ニッスイ,プライム（内国株式）,水産・農林業,食品,TOPIX Mid400,E00014,株式会社ニッスイ,3月31日,有
1333,Ｕｍｉｏｓ,プライム（内国株式）,水産・農林業,食品,TOPIX Mid400,E00015,Ｕｍｉｏｓ株式会社,3月31日,有
1375,ユキグニファクトリー,プライム（内国株式）,水産・農林業,食品,TOPIX Small 2,E00007,ユキグニファクトリー株式会社,3月31日,有
1376,カネコ種苗,スタンダード（内国株式）,水産・農林業,食品,TOPIX Small 2,E00004,カネコ種苗株式会社,5月31日,有
1377,サカタのタネ,プライム（内国株式）,水産・農林業,食品,TOPIX Small 1,E00006,株式会社　サカタのタネ,5月31日,有
1379,ホクト,プライム（内国株式）,水産・農林業,食品,TOPIX Small 2,E00008,ホクト株式会社,3月31日,有
1380,秋川牧園,スタンダード（内国株式）,水産・農林業,食品,-,E00344,株式会社秋川牧園,3月31日,有
1381,アクシーズ,スタンダード（内国株式）,水産・農林業,食品,-,E00009,株式会社アクシーズ,6月30日,有
1382,ホーブ,スタンダード（内国株式）,水産・農林業,食品,-,E00010,株式会社ホーブ,6月30日,有
1383,ベルグアース,スタンダード（内国株式）,水産・農林業,食品,-,E25969,ベルグアース株式会社,10月31日,無
1384,ホクリヨウ,スタンダード（内国株式）,水産・農林業,食品,-,E31220,株式会社　ホクリヨウ,3月31日,有
1407,ウエストホールディングス,スタンダード（内国株式）,建設業,建設・資材,-,E00327,株式会社ウエストホールディングス,8月31日,有
1414,ショーボンドホールディングス,プライム（内国株式）,建設業,建設・資材,TOPIX Mid400,E00329,ショーボンドホールディングス株式会社,6月30日,有
1417,ミライト・ワン,プライム（内国株式）,建設業,建設・資材,TOPIX Mid400,E24558,株式会社ミライト・ワン,3月31日,有
1418,インターライフホールディングス,スタンダード（内国株式）,建設業,建設・資材,-,E24512,インターライフホールディングス株式会社,2月末日,有
1419,タマホーム,プライム（内国株式）,建設業,建設・資材,TOPIX Small 1,E27305,タマホーム株式会社,5月31日,有
1420,サンヨーホームズ,スタンダード（内国株式）,建設業,建設・資材,-,E27273,サンヨーホームズ株式会社,3月31日,有
1429,日本アクア,プライム（内国株式）,建設業,建設・資材,-,E30126,株式会社日本アクア,12月31日,無
1430,ファーストコーポレーション,スタンダード（内国株式）,建設業,建設・資材,-,E31306,ファーストコーポレーション株式会社,5月31日,無
1433,ベステラ,プライム（内国株式）,建設業,建設・資材,-,E31731,ベステラ株式会社,1月31日,有
1434,ＪＥＳＣＯホールディングス,スタンダード（内国株式）,建設業,建設・資材,-,E31741,ＪＥＳＣＯホールディングス株式会社,8月31日,有
1435,ｒｏｂｏｔ　ｈｏｍｅ,スタンダード（内国株式）,不動産業,不動産,TOPIX Small 2,E31925,株式会社ｒｏｂｏｔ　ｈｏｍｅ,12月末日,有
1438,岐阜造園,スタンダード（内国株式）,建設業,建設・資材,-,E32682,株式会社岐阜造園,9月末日,有
1443,技研ホールディングス,スタンダード（内国株式）,建設業,建設・資材,-,E33535,技研ホールディングス株式会社,3月31日,有
1446,キャンディル,スタンダード（内国株式）,建設業,建設・資材,-,E34095,株式会社キャンディル,9月末日,有
1450,ＴＡＮＡＫＥＮ,スタンダード（内国株式）,建設業,建設・資材,-,E34486,ＴＡＮＡＫＥＮ株式会社,3月31日,無
146A,コロンビア・ワークス,スタンダード（内国株式）,不動産業,不動産,-,E39407,コロンビア・ワークス株式会社,12月31日,有
1491,中外鉱業,スタンダード（内国株式）,非鉄金属,鉄鋼・非鉄,-,E00027,中外鉱業株式会社,3月31日,有
1514,住石ホールディングス,スタンダード（内国株式）,鉱業,エネルギー資源,TOPIX Small 2,E21342,住石ホールディングス株式会社,3月31日,有
1515,日鉄鉱業,プライム（内国株式）,鉱業,エネルギー資源,TOPIX Small 1,E00036,日鉄鉱業株式会社,3月31日,有
1518,三井松島ホールディングス,プライム（内国株式）,その他製品,情報通信・サービスその他,TOPIX Small 1,E00037,三井松島ホールディングス株式会社,3月31日,有
1605,ＩＮＰＥＸ,プライム（内国株式）,鉱業,エネルギー資源,TOPIX Mid400,E00043,株式会社ＩＮＰＥＸ,12月31日,有
160A,アズパートナーズ,スタンダード（内国株式）,サービス業,情報通信・サービスその他,-,E39448,株式会社アズパートナーズ,3月31日,無
1662,石油資源開発,プライム（内国株式）,鉱業,エネルギー資源,TOPIX Small 1,E00041,石油資源開発株式会社,3月31日,有
1663,Ｋ＆Ｏエナジーグループ,プライム（内国株式）,鉱業,エネルギー資源,TOPIX Small 1,E30048,Ｋ＆Ｏエナジーグループ株式会社,12月末日,有
166A,タスキホールディングス,プライム（内国株式）,不動産業,不動産,-,E39259,株式会社タスキホールディングス,9月30日,有
167A,リョーサン菱洋ホールディングス,プライム（内国株式）,卸売業,商社・卸売,TOPIX Small 1,E39254,リョーサン菱洋ホールディングス株式会社,3月31日,有
1711,ＳＤＳホールディングス,スタンダード（内国株式）,建設業,建設・資材,-,E05452,株式会社ＳＤＳホールディングス,3月31日,有
1716,第一カッター興業,スタンダード（内国株式）,建設業,建設・資材,TOPIX Small 2,E00320,第一カッター興業株式会社,6月30日,有
1717,明豊ファシリティワークス,スタンダード（内国株式）,サービス業,情報通信・サービスその他,-,E05377,明豊ファシリティワークス株式会社,3月31日,無
1718,美樹工業,スタンダード（内国株式）,建設業,建設・資材,-,E00315,美樹工業株式会社,12月31日,有
1719,安藤・間,プライム（内国株式）,建設業,建設・資材,TOPIX Mid400,E00317,株式会社安藤・間,3月31日,有
1720,東急建設,プライム（内国株式）,建設業,建設・資材,TOPIX Small 1,E00316,東急建設株式会社,3月31日,有
1721,コムシスホールディングス,プライム（内国株式）,建設業,建設・資材,TOPIX Mid400,E00322,コムシスホールディングス株式会社,3月31日,有
1723,日本電技,スタンダード（内国株式）,建設業,建設・資材,-,E00313,日本電技株式会社,3月31日,有
1724,シンクレイヤ,スタンダード（内国株式）,建設業,建設・資材,-,E05326,シンクレイヤ株式会社,12月31日,有
1736,オーテック,スタンダード（内国株式）,建設業,建設・資材,-,E00304,株式会社　オーテック,3月31日,有
1758,太洋基礎工業,スタンダード（内国株式）,建設業,建設・資材,-,E00287,太洋基礎工業株式会社,1月31日,無
1762,高松コンストラクショングループ,プライム（内国株式）,建設業,建設・資材,TOPIX Small 2,E00285,株式会社髙松コンストラクショングループ,3月31日,有
1764,工藤建設,スタンダード（内国株式）,建設業,建設・資材,-,E00282,工藤建設株式会社,6月30日,有
1766,東建コーポレーション,プライム（内国株式）,建設業,建設・資材,TOPIX Small 1,E00281,東建コーポレーション株式会社,4月30日,有
