code,name,market,credit_type
1301,（株）極洋,プライム,貸借銘柄
1305,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）,ETF,貸借銘柄
1306,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,ETF,貸借銘柄
1308,上場インデックスファンドＴＯＰＩＸ,ETF,貸借銘柄
1309,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,ETF,貸借銘柄
1311,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,ETF,貸借銘柄
1319,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,ETF,貸借銘柄
1320,ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）,ETF,貸借銘柄
1321,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,ETF,貸借銘柄
1322,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,ETF,貸借銘柄
1325,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,ETF,貸借銘柄
1326,ＳＰＤＲゴールド・シェア,ETF,貸借銘柄
1328,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,ETF,貸借銘柄
1329,ｉシェアーズ・コア　日経２２５　ＥＴＦ,ETF,貸借銘柄
1330,上場インデックスファンド２２５,ETF,貸借銘柄
1332,（株）ニッスイ,プライム,貸借銘柄
1333,Ｕｍｉｏｓ（株）,プライム,貸借銘柄
133A,グローバルＸ　超短期米国債　ＥＴＦ,ETF,貸借銘柄
1343,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ　指数連動型上場投信,ETF,貸借銘柄
1345,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,ETF,貸借銘柄
1346,ＭＡＸＩＳ　日経２２５上場投信,ETF,貸借銘柄
1348,ＭＡＸＩＳ　トピックス上場投信,ETF,貸借銘柄
1349,ＡＢＦ汎アジア債券インデックス・ファンド,ETF,貸借銘柄
1356,ＴＯＰＩＸベア２倍上場投信,ETF,貸借銘柄
1357,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信,ETF,貸借銘柄
1358,上場インデックスファンド日経レバレッジ指数,ETF,貸借銘柄
135A,（株）ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース,貸借銘柄
1360,日経平均ベア２倍上場投信,ETF,貸借銘柄
1364,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,ETF,貸借銘柄
1365,ｉＦｒｅｅＥＴＦ　日経平均レバレッジ・インデックス,ETF,貸借銘柄
1366,ｉＦｒｅｅＥＴＦ　日経平均ダブルインバース・インデックス,ETF,貸借銘柄
1367,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸレバレッジ（２倍）指数,ETF,貸借銘柄
1368,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸダブルインバース（－２倍）指数,ETF,貸借銘柄
