sec_code,beta,beta_obs
1301,0.27844153694589385,60
1332,0.7708640460378782,60
1333,0.3387630048002814,60
1375,0.3805981714250399,60
1377,0.42976794747053637,60
1379,0.11660118735862283,60
1414,0.25324758517561385,60
1417,0.674162076238804,60
1419,0.3385798704949397,60
1429,0.7805696230642817,60
1433,1.1985744731348758,60
1515,1.6899105053071901,60
1518,1.1006314359119784,60
1605,0.6620931976162779,60
1662,0.8823885828475412,60
1663,1.1768775322320189,60
166A,1.0980742562222332,28
167A,1.2027137502067948,60
1719,0.2686160395910108,60
1720,0.6213115113274439,60
1721,0.7897136390002807,60
1762,0.6994873905258863,60
1766,0.5694369995853285,60
1780,0.5922843640015232,60
1786,0.4216987023477587,60
1801,0.8902757679174934,60
1802,0.9695531393797041,60
1803,0.7841612434856481,60
1808,0.48515234280869335,60
1812,0.8355882363655042,60
1813,0.9921375719431403,60
1814,0.9936865582508281,60
1815,0.5987025008032504,60
1820,0.5166878492909039,60
1833,0.3860857415979972,60
1835,0.2733916107740189,60
1852,0.4256690228869823,60
1860,0.6084702489577442,60
1861,0.7374911802460763,60
1870,1.1327729468995258,60
1871,0.6519525768306671,60
1873,0.5886408342909143,60
1878,0.5248627261056672,60
1879,1.0913060011409748,60
1882,0.29456496430120516,60
1885,1.0143649947859408,60
1887,0.5992096011663165,60
1888,0.6023546319648526,60
1893,1.136853496851618,60
1898,0.586625467272765,60
1899,0.568812330272305,60
1911,0.6780612355796481,60
1925,0.44521168706987624,60
1926,0.699967539839246,60
1928,0.6871048302744724,60
1929,0.5390378094371393,60
1930,1.0739947533795007,60
1934,0.9221623318139759,60
1938,1.3443461177914993,60
1939,1.0901640441823868,60
1941,0.590386874986509,60
1942,0.9688389448337268,60
1944,0.7952323855233773,60
1945,1.0991040080868086,60
1946,1.0767767843862799,60
1950,1.1505707426572758,60
1951,0.6268750787797062,60
1952,1.5197491083817942,60
1959,1.297408154305803,60
1961,0.6586130363978087,60
1963,0.9410294297189362,60
1964,0.9825011488007558,60
1968,0.9086496967617571,60
1969,1.051897002411059,60
1975,1.6452315545175362,60
1976,1.0001920416337078,60
1979,1.2032224695840261,60
1980,1.6301543757926136,60
1982,1.0398853336868348,60
2001,0.23783505783096032,60
2002,0.3096798642243425,60
2004,0.31885721337424117,60
2053,0.4396704434371244,60
2060,0.6891816963874834,60
2108,0.5220837054163064,60
2109,0.24966403440290652,60
2117,0.1947579159148686,60
2120,1.7063328626563852,60
2121,0.423898323505096,60
2124,0.43420888897875975,60
2127,1.274554125980245,60
212A,-0.26992028334506296,25
2130,0.7366894716847374,60
2146,1.8506988181828623,60
2148,1.4329962847744646,60
2153,0.6524156435657684,60
2154,0.6081371015488433,60
2157,0.3654853739441986,60
2163,0.6251268083977314,60
2168,1.222339345042678,60
2170,0.8825635565855903,60
2175,1.3442183663193943,60
2181,0.4066655965556465,60
2198,0.1441229177524763,60
2201,0.2330461419382741,60
2206,0.25176456630491734,60
2207,0.09719605793979351,60
2209,0.20168795061924769,60
2211,0.14715521877662718,60
2212,0.14874211909448468,60
2217,0.2654560667283291,60
2220,-0.06470771299483324,60
2222,0.6367315677558806,60
2229,-0.07258130529078716,60
2264,0.33293078958067285,60
2266,0.28634270278579654,60
2267,-0.17290875145866264,60
2269,0.23886314636915054,60
2270,0.3812336426810988,60
2281,0.15999637102856668,60
2282,0.02789503427821274,60
2288,0.209503539418545,60
2292,0.27574202449874585,60
2294,0.449103161337478,60
2296,0.3911053469935226,60
2301,0.9597334899275155,60
2307,1.0812393027354295,60
2317,0.4648231837769696,60
2325,0.5303743056813205,60
2326,0.45017274281969655,60
2327,0.34424125878471845,60
2331,0.07055685745461494,60
2335,0.7550819251233503,60
2337,0.7816647203702124,60
2353,-0.27782520155453044,60
2359,0.6395405166011141,60
2371,0.45611519898429814,60
2378,0.34251550262548214,60
2379,0.226048931449725,60
2384,0.591971922950793,60
2395,-0.07985195159913851,60
2410,0.4998425478816139,60
2413,0.7251518890860675,60
2429,1.0713820786388701,60
2432,0.2110549483066755,60
2433,1.1241415856436012,60
2461,0.3360763021583997,60
2462,0.3148355570007266,60
2471,0.11334638188617209,60
2475,0.6778201007117545,60
2491,0.1497448099050687,60
2492,0.5178453229883654,60
2501,-0.26340719229723275,60
2502,0.30278543520403506,60
2503,0.36220310712527787,60
2531,0.8367184566663659,60
2533,0.42370701408641553,60
256A,0.6638529905722281,60
