doc_id,scope,revenue_y0,revenue_y1,revenue_y2,revenue_y3,revenue_y4,revenue_tag,ordinary_income_y0,ordinary_income_y1,ordinary_income_y2,ordinary_income_y3,ordinary_income_y4,ordinary_income_tag,net_assets,net_assets_tag,net_assets_y0,net_assets_y1,net_assets_y2,net_assets_y3,net_assets_y4,shares_issued_prior1,roe_pct,roe_tag,equity_ratio_pct,equity_ratio_tag,dps,eps,eps_tag,shares_issued,current_assets,current_liabilities,operating_income,operating_income_tag,ocf,ocf_tag,icf,icf_tag,cash_and_equivalents,capex,interest_bearing_debt,interest_expense,interest_expense_tag,edinet_code,sec_code,period_end,name,market,sector33,sector17,size
S100T65I,連結,14023000000.0,9660000000.0,14436000000.0,16919000000.0,20355000000.0,jpcrp_cor:NetSalesSummaryOfBusinessResults,2179000000.0,1469000000.0,2607000000.0,2791000000.0,2869000000.0,jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,20566000000.0,jpcrp_cor:NetAssetsSummaryOfBusinessResults,17691000000.0,17734000000.0,18826000000.0,19503000000.0,20566000000.0,74514800.0,9.8,jpcrp_cor:RateOfReturnOnEquitySummaryOfBusinessResults,69.6,jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,14.0,27.76,jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,74514800.0,14800000000.0,5618000000.0,2330000000.0,jppfs_cor:OperatingIncome,1584000000.0,jpcrp_cor:NetCashProvidedByUsedInOperatingActivitiesSummaryOfBusinessResults,-2038000000.0,jpcrp_cor:NetCashProvidedByUsedInInvestingActivitiesSummaryOfBusinessResults,9441000000.0,786000000.0,2493000000.0,7000000.0,jppfs_cor:InterestExpensesNOE,E05155,4820,2023-12-31,イーエムシステムズ,プライム（内国株式）,情報・通信業,情報通信・サービスその他,TOPIX Small 2
S100W9LG,連結,26901000000.0,92122000000.0,215284000000.0,208972000000.0,72417000000.0,jpcrp_cor:NetSalesSummaryOfBusinessResults,1269000000.0,1418000000.0,14038000000.0,24894000000.0,3737000000.0,jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,43338000000.0,jpcrp_cor:NetAssetsSummaryOfBusinessResults,4777000000.0,7947000000.0,22771000000.0,42432000000.0,43338000000.0,17927693.0,4.0,jpcrp_cor:RateOfReturnOnEquitySummaryOfBusinessResults,16.6,jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,3.0,53.5,jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,17930693.0,89038000000.0,80286000000.0,3602000000.0,jppfs_cor:OperatingIncome,-10361000000.0,jpcrp_cor:NetCashProvidedByUsedInOperatingActivitiesSummaryOfBusinessResults,-2620000000.0,jpcrp_cor:NetCashProvidedByUsedInInvestingActivitiesSummaryOfBusinessResults,25924000000.0,4142000000.0,44197000000.0,1185000000.0,jppfs_cor:InterestExpensesNOE,E05713,3856,2025-03-31,Ａｂａｌａｎｃｅ,スタンダード（内国株式）,電気機器,電機・精密,-
S100W9QB,連結,6184320000.0,7997527000.0,8017840000.0,9354746000.0,10113415000.0,jpcrp_cor:NetSalesSummaryOfBusinessResults,419782000.0,1052665000.0,531363000.0,388050000.0,542431000.0,jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,4532325000.0,jpcrp_cor:NetAssetsSummaryOfBusinessResults,3722875000.0,4352713000.0,4585926000.0,4705522000.0,4532325000.0,1506500.0,-0.8,jpcrp_cor:RateOfReturnOnEquitySummaryOfBusinessResults,71.3,jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,90.0,-26.71,jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,1506500.0,3468011000.0,1422263000.0,484862000.0,jppfs_cor:OperatingIncome,398669000.0,jpcrp_cor:NetCashProvidedByUsedInOperatingActivitiesSummaryOfBusinessResults,-149215000.0,jpcrp_cor:NetCashProvidedByUsedInInvestingActivitiesSummaryOfBusinessResults,1157420000.0,,480368000.0,4140000.0,jppfs_cor:InterestExpensesNOE,E34722,7058,2025-03-31,共栄セキュリティーサービス,スタンダード（内国株式）,サービス業,情報通信・サービスその他,-
S100WE4B,連結,52009682000.0,43075732000.0,46771516000.0,53037592000.0,55073206000.0,jpcrp_cor:NetSalesSummaryOfBusinessResults,3661684000.0,2878922000.0,3707329000.0,5756351000.0,5230578000.0,jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,8536536000.0,jpcrp_cor:NetAssetsSummaryOfBusinessResults,12148751000.0,11039207000.0,11032352000.0,15196827000.0,8536536000.0,23414000.0,30.4,jpcrp_cor:RateOfReturnOnEquitySummaryOfBusinessResults,16.0,jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,30.0,135.81,jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,23414000.0,34104399000.0,15846408000.0,5883783000.0,jppfs_cor:OperatingIncome,4573382000.0,jpcrp_cor:NetCashProvidedByUsedInOperatingActivitiesSummaryOfBusinessResults,-687485000.0,jpcrp_cor:NetCashProvidedByUsedInInvestingActivitiesSummaryOfBusinessResults,20677536000.0,949877000.0,20923683000.0,111550000.0,jppfs_cor:InterestExpensesNOE,E05680,3843,2025-04-30,フリービット,プライム（内国株式）,情報・通信業,情報通信・サービスその他,TOPIX Small 2
S100WGO2,連結,27020744000.0,28077053000.0,35266958000.0,41437250000.0,27052756000.0,jpcrp_cor:NetSalesSummaryOfBusinessResults,3432781000.0,2982490000.0,5273974000.0,7850014000.0,740912000.0,jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,55836089000.0,jpcrp_cor:NetAssetsSummaryOfBusinessResults,39354443000.0,40939762000.0,42313382000.0,47257410000.0,55836089000.0,35712000.0,,,93.10000000000001,jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,55.0,-2.84,jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,41186000.0,47760770000.0,2830896000.0,628061000.0,jppfs_cor:OperatingIncome,3858135000.0,jpcrp_cor:NetCashProvidedByUsedInOperatingActivitiesSummaryOfBusinessResults,-1621375000.0,jpcrp_cor:NetCashProvidedByUsedInInvestingActivitiesSummaryOfBusinessResults,26552957000.0,1168204000.0,,12399000.0,jppfs_cor:InterestExpensesNOE,E01856,6905,2025-05-20,コーセル,プライム（内国株式）,電気機器,電機・精密,TOPIX Small 2
S100WH8K,連結,83240000000.0,82905000000.0,87481000000.0,95520000000.0,100174000000.0,jpcrp_cor:NetSalesSummaryOfBusinessResults,607000000.0,793000000.0,327000000.0,1336000000.0,1648000000.0,jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,9922000000.0,jpcrp_cor:NetAssetsSummaryOfBusinessResults,8672000000.0,8888000000.0,8834000000.0,9240000000.0,9922000000.0,14236564.0,8.1,jpcrp_cor:RateOfReturnOnEquitySummaryOfBusinessResults,21.2,jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,10.0,55.54,jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,14236564.0,21696000000.0,19139000000.0,1675000000.0,jppfs_cor:OperatingIncome,2598000000.0,jpcrp_cor:NetCashProvidedByUsedInOperatingActivitiesSummaryOfBusinessResults,-1669000000.0,jpcrp_cor:NetCashProvidedByUsedInInvestingActivitiesSummaryOfBusinessResults,2669000000.0,2115000000.0,15636000000.0,187000000.0,jppfs_cor:InterestExpensesNOE,E32381,3544,2025-05-15,サツドラホールディングス,スタンダード（内国株式）,小売業,小売,-
S100WJ4B,連結,54133480000.0,55692613000.0,64825518000.0,70505597000.0,74880531000.0,jpcrp_cor:NetSalesSummaryOfBusinessResults,395681000.0,232950000.0,820021000.0,1145531000.0,845578000.0,jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,6376536000.0,jpcrp_cor:NetAssetsSummaryOfBusinessResults,4348721000.0,4247610000.0,5406380000.0,6069045000.0,6376536000.0,14883300.0,8.4,jpcrp_cor:RateOfReturnOnEquitySummaryOfBusinessResults,23.200000000000003,jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,14.0,35.63,jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,14883300.0,15178585000.0,14591870000.0,811133000.0,jppfs_cor:OperatingIncome,-165764000.0,jpcrp_cor:NetCashProvidedByUsedInOperatingActivitiesSummaryOfBusinessResults,-2156431000.0,jpcrp_cor:NetCashProvidedByUsedInInvestingActivitiesSummaryOfBusinessResults,534923000.0,2165000000.0,9534049000.0,62879000.0,jppfs_cor:InterestExpensesNOE,E24129,3160,2025-05-31,大光,スタンダード（内国株式）,卸売業,商社・卸売,-
S100WJSD,連結,93597000000.0,91538000000.0,101843000000.0,111657000000.0,119205000000.0,jpcrp_cor:NetSalesSummaryOfBusinessResults,2509000000.0,2307000000.0,3040000000.0,3448000000.0,3903000000.0,jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,18867000000.0,jpcrp_cor:NetAssetsSummaryOfBusinessResults,12944000000.0,16482000000.0,19057000000.0,20507000000.0,18867000000.0,20547000.0,10.8,jpcrp_cor:RateOfReturnOnEquitySummaryOfBusinessResults,32.5,jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,25.0,108.54,jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,20547000.0,33517000000.0,20192000000.0,3448000000.0,jppfs_cor:OperatingIncome,3062000000.0,jpcrp_cor:NetCashProvidedByUsedInOperatingActivitiesSummaryOfBusinessResults,-2510000000.0,jpcrp_cor:NetCashProvidedByUsedInInvestingActivitiesSummaryOfBusinessResults,6628000000.0,2882000000.0,21701000000.0,254000000.0,jppfs_cor:InterestExpensesNOE,E34102,9278,2025-05-31,ブックオフグループホールディングス,プライム（内国株式）,小売業,小売,TOPIX Small 2
S100WJUP,連結,301184000000.0,340553000000.0,370385000000.0,353027000000.0,359424000000.0,jpcrp_cor:NetSalesSummaryOfBusinessResults,5251000000.0,4198000000.0,3419000000.0,3880000000.0,944000000.0,jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,94804000000.0,jpcrp_cor:NetAssetsSummaryOfBusinessResults,84081000000.0,85605000000.0,92667000000.0,99483000000.0,94804000000.0,31554629.0,-2.5,jpcrp_cor:RateOfReturnOnEquitySummaryOfBusinessResults,30.4,jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,25.0,-74.54,jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,31554629.0,147710000000.0,122009000000.0,1545000000.0,jppfs_cor:OperatingIncome,3216000000.0,jpcrp_cor:NetCashProvidedByUsedInOperatingActivitiesSummaryOfBusinessResults,-14334000000.0,jpcrp_cor:NetCashProvidedByUsedInInvestingActivitiesSummaryOfBusinessResults,20221000000.0,12167000000.0,87218000000.0,1610000000.0,jppfs_cor:InterestExpensesNOE,E26831,5932,2025-05-31,三協立山,プライム（内国株式）,金属製品,建設・資材,TOPIX Small 2
S100WJXT,連結,305880000000.0,328335000000.0,378874000000.0,436875000000.0,501470000000.0,jpcrp_cor:NetSalesSummaryOfBusinessResults,17344000000.0,15785000000.0,19129000000.0,20101000000.0,27513000000.0,jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,145759000000.0,jpcrp_cor:NetAssetsSummaryOfBusinessResults,77669000000.0,86930000000.0,98546000000.0,117420000000.0,145759000000.0,94597680.0,13.900000000000002,jpcrp_cor:RateOfReturnOnEquitySummaryOfBusinessResults,41.4,jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,14.0,175.42,jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,105097680.0,145368000000.0,107049000000.0,26601000000.0,jppfs_cor:OperatingIncome,22167000000.0,jpcrp_cor:NetCashProvidedByUsedInOperatingActivitiesSummaryOfBusinessResults,-31079000000.0,jpcrp_cor:NetCashProvidedByUsedInInvestingActivitiesSummaryOfBusinessResults,47731000000.0,36152000000.0,93229000000.0,614000000.0,jppfs_cor:InterestExpensesNOE,E10737,3549,2025-05-20,クスリのアオキホールディングス,スタンダード（内国株式）,小売業,小売,TOPIX Mid400
