announcement_date,sec_code,name,market,sector33,quarter_type,fiscal_year_end,period_end,operating_income,roe_pct,eps
2026-09-01,2593,伊藤園,プライム,食料品,第１四半期,2027-04-30,2026-04-30,21684000000.0,2.0,26.87
2026-09-01,4750,ダイサン,スタンダード,サービス業,第１四半期,2027-04-20,2026-04-20,268934000.0,4.6,40.89
2026-09-02,8057,内田洋行,プライム,卸売業,本決算,2026-07-20,2025-07-20,12174000000.0,14.499999999999998,997.26
2026-09-03,6654,不二電機工業,スタンダード,電気機器,第２四半期,2027-01-31,2026-01-31,248592000.0,2.3,44.27
2026-09-04,2910,ロック・フィールド,プライム,食料品,第１四半期,2027-04-30,2026-04-30,780000000.0,0.3,3.79
2026-09-04,3172,ティーライフ,スタンダード,小売業,本決算,2026-07-31,2025-07-31,456000000.0,5.6000000000000005,84.09
2026-09-04,3662,エイチームホールディングス,プライム,情報・通信業,本決算,2026-07-31,2025-07-31,845000000.0,10.8,55.75
2026-09-04,7279,ハイレックスコーポレーション,スタンダード,輸送用機器,第３四半期,2026-10-31,2025-10-31,3391000000.0,4.9,224.87
2026-09-04,8917,ファースト住建,スタンダード,不動産業,第３四半期,2026-10-31,2025-10-31,2490222000.0,3.6,103.18
2026-09-04,9678,カナモト,プライム,サービス業,第３四半期,2026-10-31,2025-10-31,17369000000.0,7.6,314.15
2026-09-04,9824,泉州電業,プライム,卸売業,第３四半期,2026-10-31,2025-10-31,8952000000.0,11.8,387.63
2026-09-07,7856,萩原工業,プライム,その他製品,第３四半期,2026-10-31,2025-10-31,1467897000.0,6.0,128.49
2026-09-08,4880,セルソース,スタンダード,医薬品,第３四半期,2026-10-31,2025-10-31,166708000.0,0.2,0.54
2026-09-09,1433,ベステラ,プライム,建設業,第２四半期,2027-01-31,2026-01-31,741091000.0,14.3,81.35
2026-09-09,2294,柿安本店,プライム,食料品,第１四半期,2027-04-30,2026-04-30,1426000000.0,5.3,84.69
2026-09-09,2751,テンポスホールディングス,スタンダード,卸売業,第１四半期,2027-04-30,2026-04-30,2890000000.0,10.69,157.22
2026-09-09,3180,ビューティガレージ,プライム,卸売業,第１四半期,2027-04-30,2026-04-30,1518314000.0,11.4,72.8
2026-09-09,5032,ＡＮＹＣＯＬＯＲ,プライム,情報・通信業,第１四半期,2027-04-30,2026-04-30,20172000000.0,57.6,231.61
2026-09-09,6966,三井ハイテック,プライム,電気機器,第２四半期,2027-01-31,2026-01-31,12651000000.0,2.8000000000000003,17.25
2026-09-09,7678,あさくま,スタンダード,小売業,第２四半期,2027-01-31,2026-01-31,519096000.0,10.1,61.18
2026-09-10,1928,積水ハウス,プライム,建設業,第２四半期,2027-01-31,2026-01-31,341402000000.0,11.32,358.07
2026-09-10,2198,アイ・ケイ・ケイホールディングス,プライム,サービス業,第３四半期,2026-10-31,2025-10-31,1820634000.0,17.299999999999997,67.98
2026-09-10,4026,神島化学工業,スタンダード,ガラス・土石製品,第１四半期,2027-04-30,2026-04-30,2679000000.0,13.4,203.79
2026-09-10,4194,ビジョナル,プライム,情報・通信業,本決算,2026-07-31,2025-07-31,21442000000.0,26.700000000000003,400.76
2026-09-10,6184,鎌倉新書,プライム,サービス業,第２四半期,2027-01-31,2026-01-31,1161949000.0,15.7,20.49
2026-09-10,6535,アイモバイル,プライム,サービス業,本決算,2026-07-31,2025-07-31,4133000000.0,18.7,51.4
2026-09-10,6619,ダブル・スコープ,プライム,電気機器,第２四半期,2027-01-31,2026-01-31,-4919000000.0,-27.6,-225.88
2026-09-10,6778,アルチザネットワークス,スタンダード,電気機器,本決算,2026-07-31,2025-07-31,116062000.0,2.0,14.83
2026-09-10,7640,トップカルチャー,スタンダード,小売業,第３四半期,2026-10-31,2025-10-31,-391037000.0,,-46.84
2026-09-10,9692,シーイーシー,プライム,情報・通信業,第２四半期,2027-01-31,2026-01-31,7338000000.0,12.5,165.67
2026-09-11,2217,モロゾフ,プライム,食料品,第２四半期,2027-01-31,2026-01-31,1264948000.0,3.27,31.85
2026-09-11,2353,日本駐車場開発,プライム,不動産業,本決算,2026-07-31,2025-07-31,7659829000.0,27.700000000000003,15.05
2026-09-11,2695,くら寿司,プライム,小売業,第３四半期,2026-10-31,2025-10-31,5460000000.0,6.1,90.74
2026-09-11,2929,ファーマフーズ,プライム,食料品,本決算,2026-07-31,2025-07-31,2367000000.0,3.19,12.83
2026-09-11,3038,神戸物産,プライム,卸売業,第３四半期,2026-10-31,2025-10-31,39878000000.0,22.2,143.98
2026-09-11,3159,丸善ＣＨＩホールディングス,スタンダード,小売業,第２四半期,2027-01-31,2026-01-31,5593000000.0,6.3,36.03
2026-09-11,3193,エターナルホスピタリティグループ,プライム,小売業,本決算,2026-07-31,2025-07-31,3121482000.0,18.6,149.23
2026-09-11,3320,クロスプラス,スタンダード,卸売業,第２四半期,2027-01-31,2026-01-31,1395000000.0,9.7,237.12
2026-09-11,3399,丸千代山岡家,スタンダード,小売業,第２四半期,2027-01-31,2026-01-31,4678935000.0,43.9,187.65
2026-09-11,3444,菊池製作所,スタンダード,金属製品,第１四半期,2027-04-30,2026-04-30,-248125000.0,1.9,8.54
2026-09-11,3480,ジェイ・エス・ビー,プライム,不動産業,第３四半期,2026-10-31,2025-10-31,7658877000.0,13.0,244.4
2026-09-11,3539,ＪＭホールディングス,プライム,小売業,本決算,2026-07-31,2025-07-31,10048000000.0,14.6,252.05
2026-09-11,3733,ソフトウェア・サービス,スタンダード,情報・通信業,第３四半期,2026-10-31,2025-10-31,8388000000.0,15.6,1167.88
2026-09-11,3903,ｇｕｍｉ,プライム,情報・通信業,第１四半期,2027-04-30,2026-04-30,83321000.0,7.8,28.46
2026-09-11,3921,ネオジャパン,プライム,情報・通信業,第２四半期,2027-01-31,2026-01-31,2497767000.0,26.3,129.18
2026-09-11,4382,ＨＥＲＯＺ,スタンダード,情報・通信業,第１四半期,2027-04-30,2026-04-30,523119000.0,7.9,24.75
2026-09-11,4813,ＡＣＣＥＳＳ,プライム,情報・通信業,第２四半期,2027-01-31,2026-01-31,-2688610000.0,-40.5,-90.53
2026-09-11,4996,クミアイ化学工業,プライム,化学,第３四半期,2026-10-31,2025-10-31,10567000000.0,3.0,36.38
2026-09-11,5218,オハラ,スタンダード,ガラス・土石製品,第３四半期,2026-10-31,2025-10-31,1794267000.0,3.4000000000000004,71.04
2026-09-11,6091,ウエスコホールディングス,スタンダード,サービス業,本決算,2026-07-31,2025-07-31,987620000.0,4.77,56.02
2026-09-11,6656,インスペック,スタンダード,電気機器,第１四半期,2027-04-30,2026-04-30,108348000.0,9.8,19.15
2026-09-11,8013,ナイガイ,スタンダード,繊維製品,第２四半期,2027-01-31,2026-01-31,-136000000.0,0.8,6.41
2026-09-11,8077,トルク,スタンダード,卸売業,第３四半期,2026-10-31,2025-10-31,1009912000.0,6.6000000000000005,39.9
2026-09-11,8079,正栄食品工業,プライム,卸売業,第３四半期,2026-10-31,2025-10-31,4942908000.0,5.6000000000000005,181.31
2026-09-11,8142,トーホー,プライム,卸売業,第２四半期,2027-01-31,2026-01-31,7853000000.0,14.000000000000002,142.93
2026-09-11,9262,シルバーライフ,スタンダード,小売業,本決算,2026-07-31,2025-07-31,850439000.0,10.489999999999998,64.64
2026-09-11,9603,エイチ・アイ・エス,プライム,サービス業,第３四半期,2026-10-31,2025-10-31,11627000000.0,8.799999999999999,63.16
2026-09-11,9743,丹青社,プライム,サービス業,第２四半期,2027-01-31,2026-01-31,8358000000.0,16.900000000000002,126.92
2026-09-14,1840,土屋ホールディングス,スタンダード,建設業,第３四半期,2026-10-31,2025-10-31,-122694000.0,,
2026-09-14,2301,学情,プライム,サービス業,第３四半期,2026-10-31,2025-10-31,2332961000.0,12.9,139.97
2026-09-14,2315,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,スタンダード,情報・通信業,第３四半期,2026-10-31,2025-10-31,70949000.0,6.3,1.22
2026-09-14,3134,Ｈａｍｅｅ,スタンダード,小売業,第１四半期,2027-04-30,2026-04-30,983957000.0,6.1,33.85
2026-09-14,3195,ジェネレーションパス,スタンダード,小売業,第３四半期,2026-10-31,2025-10-31,114378000.0,8.9,19.88
2026-09-14,3415,ＴＯＫＹＯ　ＢＡＳＥ,プライム,小売業,第２四半期,2027-01-31,2026-01-31,1956221000.0,21.3,27.81
2026-09-14,3475,グッドコムアセット,プライム,不動産業,第３四半期,2026-10-31,2025-10-31,2935408000.0,10.8,53.3
