sec_code,name,market,sector33,price,change_1d_pct,change_5d_pct,change_20d_pct,volume,turnover_yen,volume_rising,market_cap,is_large_cap
5110,住友ゴム工業,プライム（内国株式）,ゴム製品,1985.0,-4.818988252217693,-13.413304252998914,-17.686087497408252,4191000.0,8319135000.0,True,522140355000.0,True
4385,メルカリ,プライム（内国株式）,情報・通信業,4100.0,-5.5299539170506895,-11.236198311322799,-15.324246179264767,2498800.0,10245080000.0,True,674648948400.0,True
6988,日東電工,プライム（内国株式）,化学,3179.0,-5.918910920390652,-11.201117318435749,-10.57665260196906,3124800.0,9933739200.0,True,2157456961000.0,True
5334,日本特殊陶業,プライム（内国株式）,ガラス・土石製品,7444.0,-7.894085622370706,-10.882317730156831,-23.138874548270515,1465600.0,10909926400.0,True,1483200027680.0,True
6503,三菱電機,プライム（内国株式）,電気機器,5066.0,-5.923862581244199,-8.241260641188186,-13.312799452429847,6387400.0,32358568400.0,True,10705476266000.0,True
7966,リンテック,プライム（内国株式）,その他製品,5110.0,-6.751824817518248,-7.090909090909092,-15.815485996705103,4653400.0,23778874000.0,True,370413680000.0,True
7741,ＨＯＹＡ,プライム（内国株式）,精密機器,23325.0,-3.3961482708635304,-6.287665729208514,-11.142857142857142,976100.0,22767532500.0,True,7893514014000.0,True
5333,ＮＧＫ,プライム（内国株式）,ガラス・土石製品,5025.0,-5.474040632054178,-6.25,-11.687170474516694,1020500.0,5128012500.0,True,1468523567400.0,True
7012,川崎重工業,プライム（内国株式）,輸送用機器,2385.5,-4.11977491961415,-5.449861276258428,-11.451373422420197,15026900.0,35846669950.0,True,400575545500.0,True
4186,東京応化工業,プライム（内国株式）,化学,8104.0,-4.4226913551126295,-5.049794961921494,-10.204986149584483,648600.0,5256254400.0,True,1035691200000.0,True
